num,day,lognum
36769,198,4.565481819
39813,199,4.600024904
39228,200,4.593596167
39171,201,4.592964659
38384,202,4.584150231
40650,203,4.60906055
37791,204,4.577388384
37353,205,4.572325488
39250,206,4.593839661
36662,207,4.564216153
34909,208,4.542937408
38381,209,4.584116286
37229,210,4.570881371
37350,211,4.572290606
38841,212,4.589290403
36223,213,4.558984416
35516,214,4.550424047
36223,215,4.558984416
37654,216,4.575811118
37301,217,4.571720475
34198,218,4.534000708
35276,219,4.547479334
31652,220,4.500401157
35376,221,4.548708725
35105,222,4.545368977
35815,223,4.554064955
34938,224,4.54329804
33965,225,4.531031619
38245,226,4.582574665
35617,227,4.551657336
35888,228,4.554949256
33549,229,4.52567958
33700,230,4.527629901
36737,231,4.565103688
34716,232,4.54052968
31241,233,4.494724927
30214,234,4.480208225
34281,235,4.535053482
33660,236,4.527114112
35343,237,4.548303411
31903,238,4.503831524
35724,239,4.552960081
31191,240,4.494029299
32018,241,4.5053942
32733,242,4.51498581
32734,243,4.514999078
30992,244,4.491249603
31962,245,4.504633947
32172,246,4.50747806
29237,247,4.465932808
27887,248,4.445401797
29147,249,4.464593861
29497,250,4.469777848
32142,251,4.507072897
33344,252,4.523017697
37309,253,4.571813609
33418,254,4.523980455
33102,255,4.519854234
35050,256,4.544688022
31277,257,4.49522509
31976,258,4.504824135
34455,259,4.537252254
31509,260,4.49843462
32777,261,4.515569201
28994,262,4.462308135
31706,263,4.501141455
30985,264,4.4911515
31355,265,4.496306805
30477,266,4.483972215
31223,267,4.494474629
28202,268,4.450279908
30088,269,4.47839332
32288,270,4.509041145
32014,271,4.505339941
30935,272,4.49045012
32522,273,4.512177245
29026,274,4.462787191
26905,275,4.429832996
28408,276,4.453440659
26878,277,4.42939695
28575,278,4.455986239
29151,279,4.464653457
27197,280,4.434521001
28906,281,4.460987998
30403,282,4.48291644
30459,283,4.483715641
31269,284,4.495113992
28612,285,4.456548216
28322,286,4.452123918
28741,287,4.458501875
28637,288,4.45692752
29084,289,4.463654136
29279,290,4.46655624
28947,291,4.461603561
28953,292,4.46169357
30063,293,4.478032317
27609,294,4.441050677
27905,295,4.445682027
25156,296,4.400641586
24672,297,4.392204356
26498,298,4.423213096
27502,299,4.439364278
27670,300,4.442009159
29554,301,4.470616269
27330,302,4.436639632
29743,303,4.473384771
31068,304,4.492313296
26096,305,4.416573944
27213,306,4.434776422
28984,307,4.462158321
27467,308,4.438811228
25993,309,4.414856407
24660,310,4.391993072
25085,311,4.399414105
26536,312,4.423835459
27475,313,4.438937701
25576,314,4.407832623
27465,315,4.438779603
29208,316,4.46550182
24749,317,4.393557656
24991,318,4.397783635
24288,319,4.385391754
27437,320,4.438336623
26663,321,4.425909013
27705,322,4.442558154
24197,323,4.383761524
26381,324,4.421291254
25206,325,4.401503932
26051,326,4.415824399
23739,327,4.37546242
23183.5,328,4.365179002
22628,329,4.35464617
24646,330,4.391746444
23873,331,4.377906998
25577,332,4.407849603
23153,333,4.364607272
23509,334,4.371234156
24899,335,4.396181905
21199,336,4.326315375
23640,337,4.373647472
21157,338,4.325454086
21947,339,4.341375164
22873,340,4.35932313
24101,341,4.382035063
20824,342,4.318564155
22176,343,4.345883213
22853,344,4.35894322
22336,345,4.349005401
22166,346,4.345687329
26010,347,4.415140352
24137,348,4.38268329
22180,349,4.345961542
20490,350,4.311541958
21937,351,4.341177235
20281,352,4.307089365
15554,353,4.191842095
20011,354,4.301268792
20879,355,4.319709694
20160,356,4.304490528
20001,357,4.30105171
21204,358,4.326417796
20380,359,4.30920418
